"title","image_url","price","sku"
"Kuruti B Sheets","https://m.media-amazon.com/images/I/6166-Iid6jL._AC_UL320_.jpg","469","B0DGXSRJTS"
"Leriya Fashion","https://m.media-amazon.com/images/I/61ZPqb-Q-xL._AC_UL320_.jpg","499","B0F4RC6LVF"
"Jockey","https://m.media-amazon.com/images/I/61suyW2WBFL._AC_UL320_.jpg","449","B09MFLRKN3"
"KLOSIA","https://m.media-amazon.com/images/I/61dp9EyE-kL._AC_UL320_.jpg","499","B0FNS1DX58"
"GoSriKi","https://m.media-amazon.com/images/I/61qn8q1L1GL._AC_UL320_.jpg","499","B0FQ5LLC3P"
"Kuruti B Sheets","https://m.media-amazon.com/images/I/81aWOZsZ5dL._AC_UL320_.jpg","469","B0CX21Z98Y"
"SHIENZY","https://m.media-amazon.com/images/I/61Tu3ZWvs5L._AC_UL320_.jpg","499","B0CYCFCDFL"
"Monique","https://m.media-amazon.com/images/I/71J0MIlGDiL._AC_UL320_.jpg","474","B0DDY1K99C"
"LookMark","https://m.media-amazon.com/images/I/61OuMlAJFEL._AC_UL320_.jpg","498","B0D2V1W3R5"
"JAIPUR HAND BLOCK","https://m.media-amazon.com/images/I/71YcNgZS7pL._AC_UL320_.jpg","474","B0D7MHFJQP"
"Leriya Fashion","https://m.media-amazon.com/images/I/61MlqFOtVWL._AC_UL320_.jpg","499","B0DY7VZY8L"
"ANNI DESIGNER","https://m.media-amazon.com/images/I/61FcdOAkayL._AC_UL320_.jpg","359","B0GPLGPX22"
"Priyashi","https://m.media-amazon.com/images/I/71F9welWjSL._AC_UL320_.jpg","499","B0CT2NV5Y8"
"Kuruti B Sheets","https://m.media-amazon.com/images/I/7137zTdCKrL._AC_UL320_.jpg","469","B0DHDDJ34J"
"Max","https://m.media-amazon.com/images/I/610mtig713L._AC_UL320_.jpg","499","B0DPQVBZZW"
"Rajnandini","https://m.media-amazon.com/images/I/81zSpljmDXL._AC_UL320_.jpg","470","B0BN43SYQJ"
"SIRIL","https://m.media-amazon.com/images/I/61d-cxCBDQL._AC_UL320_.jpg","","B0CMX1S7P9"
"JAIPUR HAND BLOCK","https://m.media-amazon.com/images/I/81x2Ovt1bUL._AC_UL320_.jpg","360","B0C3ZRZK3B"
"Max","https://m.media-amazon.com/images/I/61k4VFRIgeL._AC_UL320_.jpg","469","B0DBVDY7YD"
